country,latitude,longitude,users%,user_delta%,swl%,swl,users,non_users,user_delta,population
Iceland,65,-18,1,0.029508197,0.951231113,260,331778,0,0.009,331778
India,20,77,0.348,1,0.658544616,180,462124989,864676587,0.305,1326801576
Indonesia,-5,120,0.204,0.213114754,0.804887864,220,53236719,207344381,0.065,260581100
Iran,32,53,0.489,0.252459016,0.73171624,200,39149103,40894043,0.077,80043146
Ireland,53,-8,0.81,0.032786885,0.926828376,253.33,3817392,896601,0.01,4713993
Israel,31.5,34.75,0.725,0.068852459,0.81707094,223.33,5941174,2251289,0.021,8192463
Italy,42.8333,12.8333,0.656,0.055737705,0.841473677,230,39211518,20589486,0.017,59801004
Jamaica,18.25,-77.5,0.434,0.081967213,1,273.33,1216098,1587264,0.025,2803362
Japan,36,138,0.911,0.003278689,0.756118977,206.67,115111595,11212120,0.001,126323715
Jordan,31,36,0.457,0.104918033,0.621958804,170,3536871,4210929,0.032,7747800
Kazakhstan,48,68,0.558,0.059016393,0.707313504,193.33,9961519,7893865,0.018,17855384
Kenya,1,38,0.45,0.121311475,0.682947353,186.67,21248977,26002472,0.037,47251449
Kuwait,29.3375,47.6581,0.799,0.11147541,0.878059489,240,3202110,805036,0.034,4007146
Kyrgyzstan,41,75,0.344,0.245901639,0.804887864,220,2076220,3957549,0.075,6033769
Laos,18,105,0.157,0.154098361,0.658544616,180,1087567,5830800,0.047,6918367
Latvia,57,25,0.763,-0.016393443,0.573189917,156.67,1491951,463791,-0.005,1955742
Lebanon,33.8333,35.8333,0.759,0.104918033,0.682947353,186.67,4545007,1443146,0.032,5988153
Lesotho,-29.5,28.5,0.206,0.593442623,0.524384444,143.33,444376,1715933,0.181,2160309
Libya,25,17,0.211,0.324590164,0.695130428,190,1335705,4994454,0.099,6330159
Lithuania,56,24,0.772,0.036065574,0.573189917,156.67,2199938,650092,0.011,2850030
Luxembourg,49.75,6.1667,0.952,0.062295082,0.926828376,253.33,548807,27436,0.019,576243
Madagascar,-20,47,0.043,0.239344262,0.707313504,193.33,1066397,23849425,0.073,24915822
Malawi,-13.5,34,0.065,0.219672131,0.560970256,153.33,1160839,16588987,0.067,17749826
Malaysia,2.5,112.5,0.686,0.072131148,0.902462225,246.67,21090777,9660825,0.022,30751602
Maldives,3.25,73,0.536,0.140983607,0.804887864,220,198071,171741,0.043,369812
Mali,17,-4,0.122,0.609836066,0.646361541,176.67,2212450,15922385,0.186,18134835
Malta,35.8333,14.5833,0.796,0.091803279,0.914645301,250,334056,85559,0.028,419615
Mauritania,20,-12,0.171,0.518032787,0.646361541,176.67,714132,3452331,0.158,4166463
Mauritius,-20.2833,57.55,0.425,0.036065574,0.792704789,216.67,543048,734411,0.011,1277459
Mexico,23,-102,0.451,0.068852459,0.841473677,230,58016997,70615007,0.021,128632004
Moldova,47,29,0.479,0.02295082,0.426846669,116.67,1946111,2116751,0.007,4062862
Mongolia,46,105,0.356,0.318032787,0.81707094,223.33,1069693,1936751,0.097,3006444
Morocco,32,-5,0.576,0.055737705,0.682947353,186.67,20068556,14748509,0.017,34817065
Mozambique,-18.25,35,0.064,0.163934426,0.658544616,180,1834337,26917025,0.05,28751362
Myanmar,22,98,0.025,0.2,0.646361541,176.67,1353649,53009777,0.061,54363426
